"id";"title";"active_flag";"created_by";"updated_by";"created_at";"updated_at"
1;"Qatar";1;10;10;"2024-08-06 02:57:42";"2025-02-21 15:14:48"
2;"France";1;10;10;"2024-08-06 02:57:58";"2024-08-07 18:01:57"
3;"Tunisia";1;10;10;"2024-08-06 02:57:58";"2024-08-07 18:01:57"
4;"Kuwait";1;1;1;"2025-03-15 12:36:01";"2025-03-15 20:03:05"
5;"Brazil";1;1;1;"2025-03-15 12:36:01";"2025-03-15 20:03:05"
6;"Jordan";1;1;1;"2025-03-15 12:36:25";"2025-03-15 20:03:05"
7;"Spain";1;1;1;"2025-03-15 12:36:25";"2025-03-15 20:03:05"
8;"Morocco";1;1;1;"2025-03-15 12:37:07";"2025-03-15 20:03:05"
9;"Japan";1;1;1;"2025-03-15 12:37:07";"2025-03-15 20:03:05"
